カード種別	カード名	星	イベント名	選択肢1	結果1	選択肢2	結果2	選択肢3	結果3	選択肢4	結果4	選択肢5	結果5
育成ウマ娘	サイレンススズカ	星3	夏合宿（2年目）にて	砂浜で筋力アップだ！	パワー+10	山を1周走りきろう！	根性+10						
育成ウマ娘	サイレンススズカ	星3	初詣	甘味で元気いっぱい！おしるこ占い	体力+30	全てを運に任せよ！おみくじ占い	5種ステータスを+5	新たな技を身に付けよ！福笑い占い	スキルPt+35				
育成ウマ娘	サイレンススズカ	星3	戦いの幕開け	選択肢なし	スピード+5								
育成ウマ娘	サイレンススズカ	星3	私の走る意味	選択肢なし	スピード+5								
育成ウマ娘	サイレンススズカ	星3	見えない頂上	選択肢なし	やる気アップ 5種ステータスを+5 スキルPt+30								
育成ウマ娘	サイレンススズカ	星3	超えたい光	選択肢なし	スピード+5								
育成ウマ娘	サイレンススズカ	星3	譲れない想い	選択肢なし	根性+5								
育成ウマ娘	サイレンススズカ	星3	今日の空模様	選択肢なし	体力-10 やる気アップ スピード+20								
育成ウマ娘	サイレンススズカ	星3	ぼんやりモード	選択肢なし	体力-10 やる気ダウン								
育成ウマ娘	サイレンススズカ	星3	目標達成の後に・秘密基地	選択肢なし	5種ステータスを+3 スキルPt+20 秋川理事長の絆ゲージ+4								
育成ウマ娘	サイレンススズカ	星3	サイレンススズカ登場！	選択肢なし	スキルPt+120								
育成ウマ娘	サイレンススズカ	星3	気分も雨模様……	選択肢なし	やる気ダウン								
育成ウマ娘	サイレンススズカ	星3	名指導	選択肢なし	スピード+10 ランダムで『練習上手◯』取得								
育成ウマ娘	サイレンススズカ	星3	デビュー戦の後に	1位(まだ見ぬ景色へ)	5種ステータスからランダムに3種を+3 スキルPt+30 秋川理事長の絆ゲージ+4	2位(まだ見ぬ景色へ)	5種ステータスからランダムに3種を+2 スキルPt+30 秋川理事長の絆ゲージ+4	3位以下	5種ステータスからランダムに3種を+2 スキルPt+30 秋川理事長の絆ゲージ+4				
育成ウマ娘	サイレンススズカ	星3	弥生賞の後に・生まれた戸惑い	1位	5種ステータスからランダムに4種を+3 スキルPt+35 秋川理事長の絆ゲージ+4	2位	5種ステータスからランダムに4種を+2 スキルPt+35 秋川理事長の絆ゲージ+4	3位以下	5種ステータスからランダムに4種を+1 スキルPt+34 秋川理事長の絆ゲージ+4				
育成ウマ娘	サイレンススズカ	星3	神戸新聞杯の後に	1位(取り戻したもの)	5種ステータスからランダムに4種を+3 スキルPt+39 秋川理事長の絆ゲージ+4	2位(取り戻したもの)	5種ステータスからランダムに4種を+2 スキルPt+39 秋川理事長の絆ゲージ+4	3位以下	5種ステータスからランダムに4種を+1 スキルPt+39 秋川理事長の絆ゲージ+4				
育成ウマ娘	サイレンススズカ	星3	金鯱賞の後に	1位(再起、躍進)	5種ステータスからランダムに4種を+3 スキルPt+39 秋川理事長の絆ゲージ+6								
育成ウマ娘	サイレンススズカ	星3	宝塚記念の後に	1位(鼓動と輝き)	5種ステータスからランダムに4種を+3 スキルPt+51 秋川理事長の絆ゲージ+6								
育成ウマ娘	サイレンススズカ	星3	毎日王冠の後に	1位(そして"光"へ)	5種ステータスからランダムに4種を+3 スキルPt+39 「先駆け」のヒントLv+1 秋川理事長の絆ゲージ+6								
育成ウマ娘	サイレンススズカ	星3	あんし〜ん笹針師、参☆上	強いウマ娘になれる秘孔を狙う	成功時:5種ステータス+20<hr>失敗時:やる気ダウン 全ステータス-15 『夜ふかし気味』になる	レースで勝てる秘孔を狙う	成功時:『コーナー回復◯』取得 『直線回復』取得 失敗時:体力-20 やる気ダウン	元気で健康になれる秘孔を狙う	体力の最大値+12 体力+40	魅力アップの秘孔を狙う	成功時:体力+20 やる気アップ 『愛嬌◯』になる	不安なのでやめておく	調査中
育成ウマ娘	サイレンススズカ	星3	福引チャンス！	特賞(温泉旅行券)	体力+30 やる気アップ 5種ステータス+10	1等(特上にんじんハンバーグ)	体力+30 やる気アップ 5種ステータスを+10	2等(にんじん山盛り)	体力+20 やる気アップ 5種ステータスを+5	3等(にんじん1本)	体力+20	はずれ	やる気ダウン
育成ウマ娘	サイレンススズカ	星3	バレンタイン	選択肢なし	スキルPt+20	選択肢なし	ランダムでウマ娘固有スキルLv+1						
育成ウマ娘	サイレンススズカ	星3	ファンレター	選択肢なし	やる気アップ スキルPt+30								
育成ウマ娘	サイレンススズカ	星3	クリスマス	選択肢なし	スキルPt+20	選択肢なし	ランダムでウマ娘固有スキルLv+1						
育成ウマ娘	サイレンススズカ	星3	ファン感謝祭	選択肢なし	体力-5 スキルPt+25	選択肢なし	やる気アップ ランダムでウマ娘固有スキルLv+1						
育成ウマ娘	サイレンススズカ	星3	夏合宿（2年目）終了	選択肢なし	5種ステータスからランダムに3種を+5								
育成ウマ娘	サイレンススズカ	星3	夏合宿（3年目）終了	選択肢なし	5種ステータスからランダムに3種を+5								
育成ウマ娘	サイレンススズカ	星3	『月刊トゥインクル増刊号』	選択肢なし	スキルPt+5	選択肢なし	5種ステータス+3 スキルPt+10	選択肢なし	5種ステータス+5 スキルPt+20				
育成ウマ娘	スペシャルウィーク	星3	今日も、明日からも	じゃあ追加トレーニングだ	スピード+20 ランダムで『注目株』取得	ゆっくり休んで明日に備えよう	賢さ+20 ランダムで『注目株』取得						
育成ウマ娘	スペシャルウィーク	星3	昼下がりの恩返し	食べることを楽しもう！	体力+5 賢さ+5	何も言うことはない！	『ペースキープ』のヒントLv+1						
育成ウマ娘	スペシャルウィーク	星3	想い、服に託して	一緒にこの経験を活かしていこう	スタミナ+20	こっちこそ甘すぎた	根性+20						
育成ウマ娘	スペシャルウィーク	星3	ポーズはどうする	たぎる思いをそのまま出せばいいよ	パワー+20	ライバルを意識したポーズがいいかも	スキルPt+40						
育成ウマ娘	スペシャルウィーク	星3	食堂でお腹いっぱい	今はバランスの取れた食事が大事！	体力+10 スキルPt+5	あとで運動すれば大丈夫！	体力+30 スキルPt+10 『太り気味』になる						
育成ウマ娘	スペシャルウィーク	星3	カラオケグルメ♪	みんなのためにも英気を養おう！	体力+10	みんなのためにも我慢で乗り越えよう！	パワー+10						
育成ウマ娘	スペシャルウィーク	星3	青春のテニス日和	反応の良さを信じて前衛！	スピード+10	スタミナを信じて後衛！	スタミナ+10						
育成ウマ娘	スペシャルウィーク	星3	特別だからこそ	お母さんとはどこに出かけるんだ？	スタミナ+10	友達とはどこに出かけるんだ？	スピード+10						
育成ウマ娘	スペシャルウィーク	星3	研究熱心	東京レース場総集編	『東京レース場◯』のヒントLv+1	中山レース場総集編	『中山レース場◯』のヒントLv+1						
育成ウマ娘	スペシャルウィーク	星3	もう少しだけ	コーナリングのコツを掴もう	『コーナー巧者◯』のヒントLv+1	末脚のコツを掴もう	『末脚』のヒントLv+1						
育成ウマ娘	スペシャルウィーク	星3	あなたと行きたい場所	遊園地とか？	調査中	山登りとか？	スタミナ+10						
育成ウマ娘	スペシャルウィーク	星3	レース勝利！	よくやったな！	体力-10~15 5種ステータスからランダムに1種を+5~9 スキルPt+30~39	油断は禁物だぞ	体力-20 5種ステータスからランダムに1種を+5~8 スキルPt+34~38						
育成ウマ娘	スペシャルウィーク	星3	レース入着	毎日頑張っている証拠だ！	体力-20 5種ステータスからランダムに1種を+4 スキルPt+30	もっと頑張らないとな	体力-20~30 5種ステータスからランダムに1種を+5~6 スキルPt+35						
育成ウマ娘	スペシャルウィーク	星3	レース敗北	でもよくやった	体力-25 スキルPt+10	失敗をバネにしよう	調査中						
育成ウマ娘	スペシャルウィーク	星3	ダンスレッスン	君らしく元気よく踊るのが1番だ	根性+10	曲とシンクロさせて踊るのが大事	スタミナ+10						
育成ウマ娘	スペシャルウィーク	星3	乙名史記者の徹底取材	現状を真摯に受け止めます	体力-20 やる気ダウン スキルPt+10	このまま突き進みます！！	体力-20 スタミナ+3 スキルPt+23 乙名史記者の絆ゲージ+10						
育成ウマ娘	スペシャルウィーク	星3	追加の自主トレ	わかった！気が済むまで走り込もう！	体力-5 直前のトレーニングに応じたステータス+5 秋川理事長の絆ゲージ+5	落ち着いて、オーバーワークになっちゃうよ	体力+5						
育成ウマ娘	スペシャルウィーク	星3	夏合宿（2年目）にて	フィジカルを強くしていかないとな	パワー+10	動じないハートを鍛えないとな	根性+10						
育成ウマ娘	スペシャルウィーク	星3	初詣	健康的に強くなる！	体力+30	能力を底上げする！	5種ステータスを+5	いろんな技を覚える！	スキルPt+35				
育成ウマ娘	スペシャルウィーク	星3	新年の抱負	長所を思いっきり伸ばそう！	スタミナ+10	とにかく健康に気をつけよう！	体力+20	日本一の技術を身につけよう！	スキルPt+20				
育成ウマ娘	スペシャルウィーク	星3	『ダービートレーナー』	選択肢なし	賢さ+5								
育成ウマ娘	スペシャルウィーク	星3	もしかして、天才かも……	選択肢なし	やる気アップ 5種ステータスを+5 スキルPt+30 『切れ者』取得								
育成ウマ娘	スペシャルウィーク	星3	ライバル登場、その名は……	選択肢なし	スタミナ+5								
育成ウマ娘	スペシャルウィーク	星3	怪鳥、そして"怪物"	選択肢なし	スピード+5								
育成ウマ娘	スペシャルウィーク	星3	巨大にんじん襲来？	選択肢なし	体力-10 やる気ダウン								
育成ウマ娘	スペシャルウィーク	星3	ダービー記者会見！	選択肢なし	根性+5								
育成ウマ娘	スペシャルウィーク	星3	スペシャルウィーク登場！	選択肢なし	スキルPt+120								
育成ウマ娘	スペシャルウィーク	星3	名指導	選択肢なし	スタミナ+10 ランダムで『練習上手◯』取得								
育成ウマ娘	スペシャルウィーク	星3	頭痛で憂鬱	選択肢なし	やる気ダウン 賢さ-5								
育成ウマ娘	スペシャルウィーク	星3	気分も雨模様	選択肢なし	やる気ダウン								
育成ウマ娘	スペシャルウィーク	星3	デビュー戦の後に	1位（めざすは日本一）	5種ステータスからランダムに3種を+3 スキルPt+30 秋川理事長の絆ゲージ+4	2位	5種ステータスからランダムに3種を+2 スキルPt+30 秋川理事長の絆ゲージ+4	3位以下	5種ステータスからランダムに3種を+1 スキルPt+20 秋川理事長の絆ゲージ+4				
育成ウマ娘	スペシャルウィーク	星3	きさらぎ賞の後に	1位(次はいよいよ……)	5種ステータスからランダムに4種を+3 スキルPt+35 ランダムで『集中力』のヒントLv+1 秋川理事長の絆ゲージ+4	2位(次はいよいよ……)	5種ステータスからランダムに4種を+2 スキルPt+35 秋川理事長の絆ゲージ+4	3位以下(次はいよいよ……)	5種ステータスからランダムに4種を+1 スキルPt+35 秋川理事長の絆ゲージ+4				
育成ウマ娘	スペシャルウィーク	星3	日本ダービーの後に	1位(『そうだね』)	5種ステータスを+3 スキルPt+49 秋川理事長の絆ゲージ+6	2位(今日を糧に)	5種ステータスを+2 スキルPt+50 秋川理事長の絆ゲージ+4	3位以下(今日を糧に)	5種ステータスを+1 スキルPt+36 秋川理事長の絆ゲージ+4				
育成ウマ娘	スペシャルウィーク	星3	菊花賞の後に	1位(次に背中を見せるのは)	5種ステータスを+3 スキルPt+49 秋川理事長の絆ゲージ+4	2位	5種ステータスを+2 スキルPt+49 秋川理事長の絆ゲージ+4	3位以下(顔は下げずに！)	5種ステータスを+1 スキルPt+50 秋川理事長の絆ゲージ+4				
育成ウマ娘	スペシャルウィーク	星3	天皇賞（春）の後に	1位	5種ステータスを+3 スキルPt+50 秋川理事長の絆ゲージ+4	2位	5種ステータスを+2 スキルPt+50 秋川理事長の絆ゲージ+4	3位以下(きっと、また)	5種ステータスを+1 スキルPt+50 秋川理事長の絆ゲージ+4				
育成ウマ娘	スペシャルウィーク	星3	あんし〜ん笹針師、参☆上	強いウマ娘になれる秘孔を狙う	成功時:5種ステータス+20<hr>失敗時:やる気ダウン 全ステータス-15 『夜ふかし気味』になる	レースで勝てる秘孔を狙う	成功時:『コーナー回復◯』取得 『直線回復』取得<hr>失敗時:体力-20 やる気ダウン	元気で健康になれる秘孔を狙う	体力の最大値+12 体力+40	魅力アップの秘孔を狙う	成功時:体力+20 やる気アップ 『愛嬌◯』になる	不安なのでやめておく	調査中
育成ウマ娘	スペシャルウィーク	星3	福引チャンス！	特賞(温泉旅行券)	体力+30 やる気アップ 5種ステータス+10	1等(特上にんじんハンバーグ)	体力+30 やる気アップ 5種ステータスを+10	2等(にんじん山盛り)	体力+20 やる気アップ 5種ステータスを+5	3等(にんじん1本)	体力+20	はずれ	やる気ダウン
育成ウマ娘	スペシャルウィーク	星3	バレンタイン	選択肢なし	スキルPt+20	選択肢なし	ランダムでウマ娘固有スキルLv+1						
育成ウマ娘	スペシャルウィーク	星3	ファンレター	選択肢なし	やる気アップ スキルPt+30								
育成ウマ娘	スペシャルウィーク	星3	クリスマス	選択肢なし	スキルPt+20	選択肢なし	ランダムでウマ娘固有スキルLv+1						
育成ウマ娘	スペシャルウィーク	星3	ファン感謝祭	選択肢なし	体力-5 スキルPt+25	選択肢なし	やる気アップ ランダムでウマ娘固有スキルLv+1						
育成ウマ娘	スペシャルウィーク	星3	夏合宿（2年目）終了	選択肢なし	5種ステータスからランダムに3種を+5								
育成ウマ娘	スペシャルウィーク	星3	夏合宿（3年目）終了	選択肢なし	5種ステータスからランダムに3種を+5								
育成ウマ娘	スペシャルウィーク	星3	『月刊トゥインクル増刊号』	選択肢なし	スキルPt+5	選択肢なし	5種ステータス+3 スキルPt+10	選択肢なし	5種ステータス+5 スキルPt+20				
育成ウマ娘	トウカイテイオー	星3	カラオケでパワーアップ！？	危ないテイオー！	根性+10	間に合わない…！	スピード+10						
育成ウマ娘	トウカイテイオー	星3	わがままテイオーと思い出の景色	よし、ゴミ拾いは任せたぞ！	根性+20	よし、落書き消しは任せたぞ！	スピード+10 パワー+10						
育成ウマ娘	トウカイテイオー	星3	力のヒミツ！	そういうことじゃない気が…	体力+10 スキルPt+5	そう！ご飯を食べよう！	体力+30 スキルPt+10 ランダムでスピード-5 『太り気味』になる						
育成ウマ娘	トウカイテイオー	星3	女帝vs."帝王"	当たって砕けろだ！	根性+10	戦略練って頑張ろうな！	スキルPt+30						
育成ウマ娘	トウカイテイオー	星3	テイオーの武者修行	トレーニングじゃ物足りないか？	根性+10 スキルPt+15	いい友だちが出来たんだな	『抜け出し準備』ヒントLv+1						
育成ウマ娘	トウカイテイオー	星3	カイチョーみたいな勝負服	タイは？	スピード+10 賢さ+10 確率で『注目株』になる	マントは？	スタミナ+10 根性+10 確率で『注目株』になる						
育成ウマ娘	トウカイテイオー	星3	カイチョーとダジャレ	買うの？	スタミナ+5 パワー+5	帰る？	スピード+10						
育成ウマ娘	トウカイテイオー	星3	褒められちゃった！	楽しませてくれるから、ついね	スタミナ+10	期待に応えてくれるから、ついね	スピード+10						
育成ウマ娘	トウカイテイオー	星3	叱られちゃった	それはルール違反だろう	調査中	ちゃんと俺を見てほしい	パワー+5 根性+5						
育成ウマ娘	トウカイテイオー	星3	テイオーのジンクス	今はどうだ？	スタミナ+20	テイオーのジンクスかな？	賢さ+20						
育成ウマ娘	トウカイテイオー	星3	ボクとみんなとカップケーキ	半分こすればいい	体力+5 やる気アップ	勝負すればいい	スピード+5 パワー+5						
育成ウマ娘	トウカイテイオー	星3	テイオー、ウマドルになる！？	数曲だけ見ていこうかな	パワー+10	用事があるからごめん	スピード+10						
育成ウマ娘	トウカイテイオー	星3	ボクとマヤノとオトナの時間	大人の味は次の機会にしたら？	根性+10	甘いものが食べたくなってきたな〜	賢さ+10						
育成ウマ娘	トウカイテイオー	星3	気づいちゃった！	テイオーの走りが好きだから	調査中	約束を守りたいから	調査中	多分テイオーと同じだよ	パワー+10				
育成ウマ娘	トウカイテイオー	星3	ダンスレッスン	バランス感覚を鍛えよう	スタミナ+10	全身の筋力をつけよう	パワー+10						
育成ウマ娘	トウカイテイオー	星3	追加の自主トレ	じゃあ試してみようか	体力-5 直前のトレーニングに応じたステータス+5 秋川理事長の絆ゲージ+5	比べるまでもない	体力+5						
育成ウマ娘	トウカイテイオー	星3	夏合宿(2年目)にて	じゃあ水中バレーをしようか	パワー+10	じゃあ素潜りをしようか	根性+10						
育成ウマ娘	トウカイテイオー	星3	新年の抱負	最後まで走り抜く根性作り！	根性+10	しっかり走るための体調管理！	体力+20	持ち味を活かす技術向上！	スキルPt+20				
育成ウマ娘	トウカイテイオー	星3	初詣	『テイオーの健康に気を配ります』って	体力+30	『テイオーの実力向上に努めます』って	全ステータス+5	『テイオーをスキルアップさせます』って	スキルPt+35				
育成ウマ娘	トウカイテイオー	星3	レース勝利！	さすがだな！	体力-15 スピード+5 スキルPt+30※上昇するステータスと値はランダム	まだこんなものじゃないだろう？	体力-20 賢さ+8 スキルPt+35 ※上昇するステータスと値はランダム						
育成ウマ娘	トウカイテイオー	星3	レース入着	それだけ悔しがれるのも才能	体力-20 賢さ+5 スキルPt+35	なら次は1着をとるぞ！	体力-10 パワー+4 スキルPt+30						
育成ウマ娘	トウカイテイオー	星3	…ボクは健康だもん	選択肢なし	根性-5 やる気ダウン								
育成ウマ娘	トウカイテイオー	星3	負っけないぞー！	選択肢なし	体力-10 やる気ダウン								
育成ウマ娘	トウカイテイオー	星3	ノーエンカウント	選択肢なし	やる気ダウン								
育成ウマ娘	トウカイテイオー	星3	圧倒的な高さの目標	選択肢なし	根性+5								
育成ウマ娘	トウカイテイオー	星3	地VS天	選択肢なし	スピード+5 パワー+5								
育成ウマ娘	トウカイテイオー	星3	クラシックに向けた記者会見	選択肢なし	スピード+5								
育成ウマ娘	トウカイテイオー	星3	足りないものは	選択肢なし	やる気アップ 5種ステータスを+5 スキルPt+30 ランダムで『切れ者』になる								
育成ウマ娘	トウカイテイオー	星3	菊花賞に出るんだ！	選択肢なし	根性+5								
育成ウマ娘	トウカイテイオー	星3	ファンレター	選択肢なし	やる気アップ スキルPt+30								
育成ウマ娘	トウカイテイオー	星3	デビュー戦の後に	1位(帝王、発進！)	5種ステータスからランダムに3種を+3 スキルPt+30 秋川理事長の絆ゲージ+4	2位	5種ステータスからランダムに3種を+2 スキルPt+30 秋川理事長の絆ゲージ+4	3位以下	5種ステータスからランダムに3種を+1 スキルPt+30 秋川理事長の絆ゲージ+4				
育成ウマ娘	トウカイテイオー	星3	若駒Sの後に	1位(三冠へ！)	5種ステータスからランダムに3種を+3 スキルPt+30 秋川理事長の絆ゲージ+4	2位(三冠へ！)	5種ステータスからランダムに3種を+2 スキルPt+30 秋川理事長の絆ゲージ+4	3位以下	5種ステータスからランダムに3種を+1 スキルPt+30 秋川理事長の絆ゲージ+4				
育成ウマ娘	トウカイテイオー	星3	皐月賞の後に	1位(一冠めっ！)	5種ステータスを+3 スキルPt+45 秋川理事長の絆ゲージ+4	2位(挑戦は終わらない！)	5種ステータスを+2 スキルPt+45 秋川理事長の絆ゲージ+4						
育成ウマ娘	トウカイテイオー	星3	日本ダービーの後に	1位(二冠めっ！)	5種ステータスを+3 スキルPt+45 『垂れウマ回避』のヒントLv+1 秋川理事長の絆ゲージ+4	2位(下は見ない！)	5種ステータスを+2 スキルPt+45 秋川理事長の絆ゲージ+4	3位以下(下は見ない！)	5種ステータスを+1 スキルPt+45 秋川理事長の絆ゲージ+4				
育成ウマ娘	トウカイテイオー	星3	菊花賞の後に	1位	5種ステータスを+3 スキルPt+45 秋川理事長の絆ゲージ+4	2位	5種ステータスを+2 スキルPt+45 秋川理事長の絆ゲージ+4	3位以下(ゴールはまだ先！)	5種ステータスを+1 スキルPt+45 ランダムで『垂れウマ回避』のヒントLv+1 秋川理事長の絆ゲージ+4				
育成ウマ娘	トウカイテイオー	星3	あんし〜ん笹針師、参☆上	強いウマ娘になれる秘孔を狙う	成功時:5種ステータス+20<hr>失敗時:やる気ダウン 全ステータス-15 『夜ふかし気味』になる	レースで勝てる秘孔を狙う	成功時:『コーナー回復◯』取得 『直線回復』取得<hr>失敗時:体力-20 やる気ダウン	元気で健康になれる秘孔を狙う	体力の最大値+12 体力+40	魅力アップの秘孔を狙う	成功時:体力+20 やる気アップ 『愛嬌◯』になる	不安なのでやめておく	調査中
育成ウマ娘	トウカイテイオー	星3	福引チャンス！	特賞(温泉旅行券)	体力+30 やる気アップ 5種ステータス+10	1等(特上にんじんハンバーグ)	体力+30 やる気アップ 5種ステータスを+10	2等(にんじん山盛り)	体力+20 やる気アップ 5種ステータスを+5	3等(にんじん1本)	体力+20	はずれ	やる気ダウン
育成ウマ娘	トウカイテイオー	星3	バレンタイン	選択肢なし	スキルPt+20	選択肢なし	ランダムでウマ娘固有スキルLv+1						
育成ウマ娘	トウカイテイオー	星3	ファンレター	選択肢なし	やる気アップ スキルPt+30								
育成ウマ娘	トウカイテイオー	星3	クリスマス	選択肢なし	スキルPt+20	選択肢なし	ランダムでウマ娘固有スキルLv+1						
育成ウマ娘	トウカイテイオー	星3	ファン感謝祭	選択肢なし	体力-5 スキルPt+25	選択肢なし	やる気アップ ランダムでウマ娘固有スキルLv+1						
育成ウマ娘	トウカイテイオー	星3	夏合宿（2年目）終了	選択肢なし	5種ステータスからランダムに3種を+5								
育成ウマ娘	トウカイテイオー	星3	夏合宿（3年目）終了	選択肢なし	5種ステータスからランダムに3種を+5								
育成ウマ娘	トウカイテイオー	星3	『月刊トゥインクル増刊号』	選択肢なし	スキルPt+5	選択肢なし	5種ステータス+3 スキルPt+10	選択肢なし	5種ステータス+5 スキルPt+20				
育成ウマ娘	マルゼンスキー	星3	レッツらお料理！	パパっと作れる具沢山スープ！	スピード+10	じっくり作る煮込み料理！	根性+10						
育成ウマ娘	マルゼンスキー	星3	ダンスにゾッコン！	技術力！	スピード+10	表現力！	パワー+10						
育成ウマ娘	マルゼンスキー	星3	スーパーカーでドライブ！	限界まで挑戦しよう！	スピード+10	少し休憩しよう	賢さ+10						
育成ウマ娘	マルゼンスキー	星3	街のトレンドメーカー♪	センスを磨く特訓をしよう	スピード+10 賢さ+10	自分に自信を持って	パワ+20						
育成ウマ娘	マルゼンスキー	星3	マルゼンスキー、「好き」を語る	誰も追いつけないスピード	スピード+20	どんな時でも余裕の笑顔	スタミナ+10 根性+10 確率で『切れ者』になる						
育成ウマ娘	マルゼンスキー	星3	思い出の味でフィーバー☆	カロリーは大丈夫か？	体力+10 スキルPt+5	全力で行ってこい！	体力+30 スキルPt+10						
育成ウマ娘	マルゼンスキー	星3	ヘイカノジョ、遊びましょ♪	のんびり学園へ戻る手もある	体力+10	少しくらい遊んでもいいと思う	体力-5 パワ+10 根性+5						
育成ウマ娘	マルゼンスキー	星3	イケイケ必勝法！	体力勝負のAプラン！	スタミナ+10	知略めぐらすBプラン！	賢さ+10						
育成ウマ娘	マルゼンスキー	星3	お姉さんの流儀☆	マルゼンスキーが適任だな	スピード+5 スキルPt+5 やる気アップ	最初に飛び出すのも大人の仕事	『大きなリード』のヒントLv+1						
育成ウマ娘	マルゼンスキー	星3	家事テクだってお任せよ！	昔からしっかり者だったんだね	根性+20	ひとり暮らしは大変じゃない？	スタミナ+10 パワー+10						
育成ウマ娘	マルゼンスキー	星3	お出かけ後のお楽しみ♪	いっそジェットコースターを周回！	スピード+5 賢さ+5	休まずとにかく乗り続ける！	スタミナ+5 パワー+5						
育成ウマ娘	マルゼンスキー	星3	出会いはトレンディー☆	二人の物語を大切にしよう	賢さ+10	ええい、ままよ！	根性+10						
育成ウマ娘	マルゼンスキー	星3	支えあいの秘訣	もっと頼ってもらえるよう、俺も頑張るよ	スピード+10	俺も君に支えられてるよ	パワー+10						
育成ウマ娘	マルゼンスキー	星3	追加の自主トレ	わかった、やろう	体力-5 直前のトレーニングに応じたステータス+5 秋川理事長の絆ゲージ+5	やめておこう	体力+5						
育成ウマ娘	マルゼンスキー	星3	新年の抱負	持ち味のスピードを伸ばしていきたい！	スピード+10	体調管理を徹底していきたい！	体力+20	得意な走りを増やしていきたい！	スキルPt+20				
育成ウマ娘	マルゼンスキー	星3	夏合宿（2年目）にて	後輩たちのところに行ってあげて	パワー+10	なんとか直してみよう	根性+10						
育成ウマ娘	マルゼンスキー	星3	初詣	基本である体調管理かな	体力+30	バランスの取れたトレーニングかな	5種ステータスを+5	得意な武器を磨くことかな	スキルPt+35				
育成ウマ娘	マルゼンスキー	星3	ダンスレッスン	よくわからないな	スピード+10	懐かしいな	賢さ+10						
育成ウマ娘	マルゼンスキー	星3	イケイケの…？	選択肢なし	やる気ダウン								
育成ウマ娘	マルゼンスキー	星3	チョベリグ☆新感覚	選択肢なし	スピード+5 スタミナ+5 パワー+5 根性+5 賢さ+5 スキルPt+30 やる気アップ ランダムで『切れ者』取得								
育成ウマ娘	マルゼンスキー	星3	気分はトップギア	選択肢なし	スピード+5								
育成ウマ娘	マルゼンスキー	星3	大・ピンチ！	選択肢なし	体力-10 やる気ダウン								
育成ウマ娘	マルゼンスキー	星3	背中を見せてあげる	選択肢なし	スピード+5								
育成ウマ娘	マルゼンスキー	星3	仮想カーレースの結果は…	選択肢なし	スピード-5 やる気ダウン								
育成ウマ娘	マルゼンスキー	星3	もっと憧れへ	選択肢なし	パワー+5								
育成ウマ娘	マルゼンスキー	星3	楽しいレース	選択肢なし	賢さ+5								
